Precio,Comuna,Dormitorios,Banos,Area Construida,Area Total,Estacionamientos
562322000,Vitacura,5,4.0,140.0,150.0,4.0
1921860000,LoBarnechea,5,3.0,450.0,1479.0,2.0
601471000,Colina,5,5.0,175.0,510.0,2.0
640620000,Penaflor,5,4.0,787.0,5000.0,10.0
311412500,Peñalolén,4,3.0,110.0,300.0,2.0
765185000,LaReina,4,3.0,145.0,803.0,5.0
622825000,LoBarnechea,5,4.0,211.0,300.0,2.0
1128203000,LoBarnechea,5,4.0,295.0,707.0,3.0
1352420000,LoBarnechea,6,4.0,392.0,961.0,3.0
1832885000,LoBarnechea,7,5.0,653.0,1381.0,3.0
701123000,LasCondes,5,3.0,160.0,684.0,5.0
423165100,Vitacura,3,3.0,90.0,178.0,1.0
1775941000,Vitacura,6,6.0,450.0,1002.0,5.0
1316830000,LoBarnechea,4,4.0,333.0,811.0,5.0
1423600000,LoBarnechea,4,4.0,335.0,809.0,5.0
1637140000,LoBarnechea,6,4.0,520.0,1820.0,3.0
1388010000,LoBarnechea,6,4.0,375.0,900.0,3.0
1850680000,LoBarnechea,8,7.0,908.0,4844.0,6.0
674430500,Vitacura,6,3.0,210.0,400.0,3.0
476906000,Peñalolén,4,3.0,160.0,410.0,2.0
80000000,Santiago,2,1.0,56.0,92.0,1.0
1174470000,LoBarnechea,5,7.0,650.0,1600.0,8.0
889750000,Vitacura,5,4.0,236.0,477.0,1.0
640620000,Vitacura,5,4.0,146.0,178.0,1.0
992249200,LoBarnechea,5,5.0,265.0,720.0,3.0
2099454100,Colina,5,5.0,583.0,3700.0,4.0
942779100,LoBarnechea,5,4.0,306.0,1020.0,2.0
1138880000,LoBarnechea,5,6.0,417.0,1323.0,6.0
